,sent,quote_tag,text_id,sent_id
18,"Durante algumas semanas , juristas de_ a Deco analisaram detalhadamente os contratos de seis empresas -- Automercantil , Automóveis Citroën SA , Multirent , Renault Gest , Tracção e Unilong -- envolvidas em reclamações apresentadas por consumidores e chegaram a_ a conclusão de que existia matéria suficiente para intentar uma acção judicial .",0,0,19
19,Com que fundamento ?,0,0,20
20,"Inclusão de cláusulas consideradas abusivas e violadoras de_ o princípio de_ a boa fé em_ a contratação , previsto em_ o diploma sobre as cláusulas contratuais gerais ' Decreto-Lei 446/85 , de 25 de Outubro ' .",0,0,21
21,"Quatro situações mais frequentes , entre outras , foram postas em relevo .",0,0,22
22,"Em caso de imobilização de_ o veículo por defeito de fabrico ou acidente , o consumidor é obrigado a continuar a pagar o aluguer .",0,0,23
23,"Em contrapartida , a empresa locadora não está vinculada a substituir o automóvel , mesmo quando a responsabilidade de_ a situação não é de_ o consumidor .",0,0,24
24,Esta situação aparece contemplada em_,0,0,25
25,os contratos de três de_ as empresas acima referidas .,0,0,26
26,"O cálculo de_ o preço de cada renda está sujeito , em alguns contratos , a alterações baseadas em taxas de verificação praticamente impossível -- a Unilong , por exemplo , indexa -a a_ a subida de_ as taxas de juro de_ os Títulos de_ o Tesouro mas não prevê a hipótese de as taxas descerem , implicando a consequente diminuição de_ a renda .",0,0,27
27,"Em_ as situações de desaparecimento ' roubo , por exemplo ' ou destruição de_ o veículo em circunstâncias que não são de_ a responsabilidade de_ o locatário , as empresas de ALD estabelecem a obrigatoriedade de_ o pagamento total de_ o aluguer , assim como o valor residual estipulado em_",0,0,28
28,as condições particulares de_ o contrato,0,0,29
29,Locatário sem direitos Mas onde se regista a mais escandalosa violação de_ o princípio de_ a boa fé contratual é em_ a situação de rescisão de_ o contrato estabelecido .,0,0,30
30,Praticamente todas as empresas estabelecem que o consumidor só pode desistir seis meses depois de iniciado o contrato .,0,0,31
31,"Além de_ isso , exigem um pré-aviso de 30 dias .",0,0,32
32,"Finalmente , reservam -se o direito de exigir uma indemnização por lucros cessantes ' isto é , o pagamento de uma importância por_ o facto de o contrato não ir até a_ o fim ' , que pode variar entre 20 e 40 por cento de_ o montante de_ as rendas ainda por pagar .",0,0,33
33,"Como a caução inicial -- geralmente entre 20 e 60 por cento de_ o preço de venda de_ o automóvel , exigida por_ as empresas em_ o início de_ o contrato a título de segurança , mas que também é vantajoso para o consumidor por_ o facto de diminuir o valor de_ a renda mensal a pagar -- nunca é restituída , conclui -se facilmente que tudo aponta em_ o sentido de dificultar o exercício de um direito por parte de_ o locatário .",0,0,34
34,"Ora a lei estabelece que um cidadão não pode ser impedido de rescindir um contrato , quando o entender , dentro de prazos razoáveis .",0,0,35
35,"A_ o intentar uma acção judicial contra aquelas seis empresas , a Deco sustenta que as cláusulas mencionadas são abusivas , devendo ser decretada a sua nulidade por_ a instância judicial .",0,0,36
36,"Se assim acontecer , a decisão de_",0,0,37
37,"o juiz terá efeitos retroactivos e implicará a sua publicidade , em termos a estabelecer .",0,0,38
38,O PÚBLICO procurou ouvir as empresas visadas por_ a Deco .,0,0,39
39,"O director-geral de_ a Automercantil mandou dizer por uma secretária que não tinha nada a esclarecer , pois não conhecia os fundamentos de_ a acção interposta por_ a Deco .",0,0,40
40,"Em_ a Citroën e em_ a Unilong , as ' pessoas indicadas ' não estavam e não foi possível estabelecer contacto até a_ o fim de_ a tarde de_ a passada sexta-feira com a Multirent e a Tracção .",0,0,41
41,"O director comercial de_ a Renault Gest , Alessandro Cotrone , manifestou -se ' verdadeiramente surpreendido ' porque a empresa nunca terá sido contactada por_ a Deco em qualquer caso de reclamação relacionado com clientes seus .",0,0,42
42,"Não quis pronunciar -se sobre o conteúdo de_ a acção judicial ' por não ter conhecimento de_ ele e não ter sido ainda notificado ' , mas sublinhou a ' total disponibilidade de_ a Renault ' para resolver situações que possam surgir , refutando a existência de ' mensalidades indexadas ' e a prática de disponibilização de viatura de substituição em_ os termos de um contrato suplementar de ' manutenção de garantia",1,0,43
43,Brasil elogia portuguesas,0,1,1
44,As actuações de_,0,1,2
45,as actrizes Maria de_ o Céu Guerra e Eunice Muñoz foram incluídas entre os ' bons momentos de_ o ano ' de_ o teatro em_ o Rio de Janeiro por_ a crítica de_ o jornal ' O Globo ' .,1,1,3
46,"Maria de_ o Céu Guerra e Eunice Muñoz apresentaram -se em_ o Rio , em_ o segundo semestre de 1993 , com os espectáculos '",0,1,4
47,"O Pranto de Maria Parda ' , em cena em_ o Teatro de_ a Casa Laura Alvim , e ' Zerlina ' , montada em_ o Teatro Nelson Rodrigues .",1,1,5
48,Céu Guerra ' está extraordinária em `,1,1,6
49,"O Pranto de Maria Parda ' ' e Eunice Muñoz ' deu provas de_ a sua grande categoria em ` Zerlina ' ' considera a crítica de_ o jornal carioca , Barbara Heliodora , em_ uma retrospectiva de_ o teatro exibido em_ a cidade",1,1,7
50,Reordenamento judiciário entra amanhã em vigor,0,2,1
51,Juízes prevêem onda de julgamentos adiados,0,2,2
52,António Arnaldo Mesquita Juízes cépticos falam de ' inferno em_ os tribunais ' .,1,2,3
53,"Um grande número de julgamentos terá que ser adiado , avisam .",0,2,4
54,"Dizem que as alterações legislativas que amanhã entram em vigor , conducentes a_ a reforma de_ os tribunais , foram feitas com ' ligeireza ' .",1,2,5
55,E acusam o legislador de as ter feito sem conhecer o que se passa em_ o terreno e pensando o país a_ a imagem de_ o que acontece em Lisboa .,0,2,6
56,Os juízes estão cépticos quanto a_ a reforma de_ os tribunais que vai entrar em vigor já amanhã .,1,2,7
57,"Noronha Nascimento , desembargador e presidente de_ a Associação Sindical de_ os Juízes Portugueses , prevê que o primeiro semestre de 1994 ' será um inferno em_ os tribunais ' .",1,2,8
58,"O mapa judiciário está inconsistentemente traçado ' , disse a_ o PÚBLICO aquele dirigente sindical , profetizando ' um número astronómico ' de adiamentos de julgamentos .",0,2,9
59,"O que vai acontecer é lapidar por aquilo que carrega : a ligeireza com que se fazem alterações legislativas , o desconhecimento de como são as coisas em_ o terreno e a tentação legislativa de pensar o país a_ a imagem de Lisboa ' - afirma Noronha Nascimento .",1,2,10
60,"Admitindo também o risco de adiamento de muitos julgamentos em_ as comarcas de maior movimento , Rui Bastos , presidente de_ o Sindicato de_ os Magistrados de_ o Ministério Público , mostra -se em_ o entanto menos céptico que Noronha Nascimento e entende que ' é dar um tiro em_ o escuro ' fazer previsões acerca de_ o novo figurino judiciário , antes de ele começar a vigorar .",1,2,11
61,"' É certo que há riscos de sobreposição de agendas de_ os magistrados , mas a expectativa é a atitude mais correcta ' , frisou , preferindo adiar o balanço para dentro de meio ano .",1,2,12
62,"O presidente de_ o SMMP teme , em_ o entanto , que o eventual insucesso de_ a reforma , por carência de meios logísticos ' magistrados , funcionários e instalações ' , se traduza em_ o abandono de_ o princípio de_ a especialização de_ os tribunais .",1,2,13
63,O novo figurino judiciário vai arrancar com um défice de 58 juízes e de cerca de duas dezenas de magistrados de_ o Ministério Público .,0,2,14
64,A carência de magistrados obrigará a acumulação de funções e afectará o ritmo judicial .,0,2,15
65,"Sendo certo que o julgamento de_ os processos que foram interrompidos em_ as férias de_ o Natal não deverá ser afectado , por_ a observância de_ o princípio de_ a continuidade previsto em_",0,2,16
66,"o regulamento de_ a Lei Orgânica de_ os Tribunais , já é problemático saber quando poderão começar as acções cujo julgamento estava previsto para o fim de_ as férias de_ o Natal . '",0,2,17
67,"A esmagadora maioria de_ os julgamentos cujo início estava agendado para Janeiro poderá ser adiada ' , garantiu a_ o PÚBLICO um fonte judicial , que admite um ' período de grande confusão , até os juízes superarem as sobreposições de_ as respectivas agendas ' .",1,2,18
68,"A extinção de_ os tribunais de competência genérica , com a criação de tribunais especializados em_ as áreas cível e criminal , obrigou a uma redistribuição de processos , implicando um total realinhamento de_ os compromissos de_ os magistrados judiciais .",1,2,19
69,Mistura explosiva ',0,2,20
70,"Em_ o caso de_ as varas criminais de_ a Boa Hora e de_ o Porto , o Governo atendeu a_ os protestos de_ os juízes e alterou parcialmente o decreto-lei regulamentador de_ a lei orgânica , definindo novo critério de afectação de_ as secções judiciais , com implicações em_ a distribuição de processos pendentes .",0,2,21
71,"' Foi uma rectificação de afogadilho , para evitar que sucedesse o que todos , menos o Ministério de_ a Justiça , estavam a prever que ia acontecer ' , comenta Noronha Nascimento , aludindo a_ a deficiente distribuição de_ os processos por_ as várias secções prevista em_ a redacção inicial de_ o diploma.. '",1,2,22
72,"Até a_ o próximo Verão ' , alerta ainda o presidente de_ a ASJP , ' os efeitos perversos de um quadro mal dimensionado , juntar-CL-ão -se a_ os de_ a redistribuição processual por_ os juízos criados e a_ os de_ a falta de juízes existente .",1,2,23
73,"Tudo somado , dará uma mistura explosiva que , obviamente , cairá sobre aqueles que quiseram pôr a vigorar a_ a pressa o novo regulamento de_ a lei orgânica , que , por_ a sua amplitude e implicações , devia entrar em vigor aproveitando as férias de Verão e a saída de_ o Centro de Estudos Judiciários de novos magistrados , que preencheriam as vagas actualmente em aberto ' .",1,2,24
74,"Sustentando que o diploma ' passa a_ a margem de_ aquilo que urge fazer para pôr os tribunais a funcionar ' , o presidente de_ a ASJP sublinha que o reordenamento judiciário enferma ' de erros de princípio com efeitos a prazo ' .",1,2,25
75,"' Mas ' , acrescentou , ' o lapso olímpico ' de_ o regulamento de_ a lei orgânica refere -se a_ o Tribunal de Família de_ o Porto , que abrangia o Porto , Vila Nova de Gaia e de Matosinhos e , em_ os termos de_ o regulamento , passa a abranger apenas a comarca-sede .",0,2,26
76,Esta alteração de_ a jurisdição vai afectar as comarcas de Gaia e de Matosinhos .,0,2,27
77,"' Vão ficar presas em_ uma teia que não tem fim ' , prevê Noronha de_ o Nascimento .",1,2,28
78,"O dirigente de_ a ASJP aponta ainda ' outro erro inadmissível ' consagrado em_ o regulamento ' ' a extinção de um juízo em_ o Tribunal de Instrução Criminal de_ o Porto ' ' e sugere a correcção de_ esse ' lapso ' , admitido como tal a_ o PÚBLICO por um alto funcionário de_ o Ministério de_ a Justiça .",1,2,29
79,"Caso não seja feita nova alteração a_ o decreto-lei , o TIC de_ o Porto disporá de apenas dois juízes , quando actualmente conta com quatro . '",0,2,30
80,"Não se percebe ' , diz o dirigente sindical , ' como é possível diminuir o número de juízes em_ o TIC , quando o número de processos aumenta assustadoramente em_ o Porto",0,2,31
81,Euro-debate em_ o Franco-Português ',0,3,1
82,"O Estado de_ a Europa e o seu alargamento : Que cultura e que línguas em_ a Europa de amanhã ' é o tema de um colóquio que se realiza quinta e sexta-feira em_ o Instituto Franco-Português , em Lisboa .",0,3,2
83,"Em_ a quinta-feira , o historiador e escritor Max Gallo , o euro-deputado Francisco Lucas Pires , os professores universitários Maria Carrilho e Jean-Loup Motchane , e a jornalista Maria de Lurdes Vale , de_ o ' Diário de Notícias ' , animam o debate , centrado sobre o alargamento de_ a Europa .",0,3,3
84,"Em_ a sexta-feira , para discutir ' Que culturas e que línguas em_ a Europa de amanhã ' , foram convidados , entre outros , o deputado europeu e ex-ministro de_ a Cultura , Coimbra Martins , e o jornalista Bernard Cassen , que também dirige o Instituto de Estudos Europeus de_ a Universidade de Paris .",1,3,4
85,A iniciativa é promovida por_ o Instituto Franco-Português e por ' Le Monde Diplomatique,0,3,5
86,"Manuscritos de Morrison destruídos Manuscritos de_ a escritora Toni Morrison , que ganhou este ano o prémio Nobel , foram destruídos em_ o dia de Natal em_ o incêndio que deflagrou em_ a sua casa , em Nova Iorque , segundo as autoridades .",0,4,1
87,"' Toni Morrison ficou muito triste por se terem perdido os manuscritos ' , disse um seu colega de_ a universidade Princeton , em New Jersey , onde Morrison dá aulas .",1,4,2
88,Os papéis destruídos eram de ' um trabalho em curso ' .,1,4,3
89,"A polícia de_ o condado de Rockland , em_ os subúrbios de Nova Iorque , onde Morrison tinha a sua casa em_ o valor de 500 mil dólares confirmou que os manuscritos ficaram destruídos , mas não acrescentou mais detalhes .",0,4,4
90,"Morrison , de 62 anos , não estava em casa em_",0,4,5
91,"a altura de_ o acidente , mas o seu filho encontrava -se lá e tentou apagar as chamas .",0,4,6
92,Escapou sem ferimentos,0,4,7
93,Ossos de_ a Arrábida não são de Tiago João,0,5,1
94,"As ossadas encontradas há dias em_ a Serra de_ a Arrábida não são de Tiago João Alcobia , um jovem desaparecido há cinco anos .",0,5,2
95,"A conclusão é de_ o director de_ o Instituto de Medicina Legal de Lisboa , José Sombreireiro , depois de comparados os dados de_ a ficha dentária de Tiago com os dentes de_ o cadáver .",0,5,3
96,"Existe uma ' contradição muito grande ' entre os elementos de_ a ficha dentária e os de_ a ossada encontrada em Casais de_ a Serra , afirmou Sombreireiro a_ a estação de rádio RDP .",0,5,4
97,"As ossadas não são de Tiago João ' com segurança absoluta ' , acrescentou .",1,5,5
98,"Os primeiros exames feitos em_ o instituto permitiram indicar que as ossadas encontradas pertencem a ' um indivíduo de raça branca , de_ o sexo masculino , com idade , sensivelmente , entre os 18 e os 20 anos ' .",1,5,6
99,"Tiago João tinha , em_ a altura de_ o desaparecimento , 20 anos .",0,5,7
100,A ficha dentária fora pedida a_ a Polícia Judiciária -- e entregue sexta-feira de manhã -- para comparar as informações recolhidas com os dados de_ o jovem desaparecido a 23 de Julho de 1988 .,0,5,8
101,"A PJ , segundo declarações a_ a agência Lusa , não tem qualquer indicação sobre o desaparecimento de outra pessoa em_ a Serra de_ a Arrábida em_ os últimos anos",0,5,9
102,Estado clínico de Carlos Paredes estacionário,0,6,1
103,"O estado de saúde de Carlos Paredes está a inspirar cuidados a_ os médicos que não conseguiram , até ontem , tirar o guitarrista de_ o coma em que se encontra desde finais de Dezembro .",0,6,2
104,"' O estado clínico de Carlos Paredes mantém -se estacionário ' , disse fonte hospitalar .",1,6,3
105,"Luísa Amaro , companheira de_ o guitarrista há 11 anos , disse a_ a agência Lusa , que Carlos Paredes ' emitiu em_ o sábado alguns sons e que parecia querer falar ' , mas continuou em coma .",1,6,4
106,"Os médicos de_ a unidade de cuidados intensivos respiratórios de_ o Hospital de Santa Maria consideram , segundo Luísa Amaro , que os próximos dias ' podem ser decisivos ' .",0,6,5
107,"Carlos Paredes , adiantou a sua companheira , está com um pouco de febre devido a uma infecção respiratória .",0,6,6
108,"O padre Feitor Pinto , um de_ os inúmeros amigos de_ o guitarrista , visitou -o em_ o sábado , tendo ficado muito impressionado com o estado de_ o guitarrista .",0,6,7
109,"Luísa Amaro afirma que Carlos Paredes ' está em muito boas mãos , muito bem instalado ' e que os médicos que o estão a assistir são ' óptimos",1,6,8
110,Caso Totta : Cavaco responde a Guterres,0,7,1
111,"O primeiro-ministro rejeitou ' as receitas socialistas de apropriação de_ a propriedade privada ' , a_ o comentar as afirmações de António Guterres sobre o Banco Totta e Açores .",0,7,2
112,' Eu não sei se o líder de_ o PS estaria a pensar em receitas socialistas .,0,7,3
113,"Eu rejeito totalmente as receitas socialistas ' , disse Cavaco Silva em declarações a_ os jornalistas em_ a sexta-feira , assegurando : ' [ O Banco Totta ] é um banco privado e não será em_ o meu tempo que bancos voltam a ser nacionalizados ou ocupados por_ o Estado ' .",0,7,4
114,"Guterres pedira explicações a_ o Governo sobre o facto de uma entidade estrangeira , o Banesto , de Espanha , ter alcançado o controlo maioritário de_ aquele banco .",0,7,5
115,EUA e Portugal cooperam em Angola,0,7,6
116,"O novo director executivo de_ a Câmara de Comércio Estados Unidos-Angola , o advogado Nathan Holt , propos ontem que os EUA e Portugal estudem a possibilidade de cooperação entre empresas de_ os dois países para a reconstrução de Angola .",0,7,7
117,"O director executivo de_ aquele fórum norte-americano iniciou ontem uma visita a Angola e a Portugal , coincidindo com a deslocação a Luanda de uma delegação de_ o Congresso de_ os Estados Unidos .",0,7,8
118,Mercado em_ a Europa para 400 milhões ...,0,7,9
119,"O maior mercado de_ o mundo , o Espaço Económico Europeu ' EEE ' , entrou ontem oficialmente em vigor , por_ a abertura de_ as fronteiras de 18 países a_ a livre circulação recíproca de bens , serviços , capitais e consumidores , estimados em 400 milhões .",0,7,10
120,"A_ os mais de 340 milhões de cidadãos comunitários juntam -se agora os de_ os países membros de_ a EFTA ' Associação Europeia de_ o Comércio Livre ' , a_ a excepção de_ a Suíça .",0,7,11
121,"... e em_ a América para 360 milhões Entrou ontem oficialmente em vigor o ' primo americano ' de_ o Espaço Económico Europeu ' EEE ' , o Acordo Norte-Americano de_ o Comércio Livre ' NAFTA ' , que prevê a supressão , em_ os próximos 15 anos , de todas as barreiras alfandegárias entre Estados Unidos , Canadá e México .",0,7,12
122,"O objectivo de_ o NAFTA é a criação de um grande mercado continental em_ a América , com 360 milhões de consumidores .",0,7,13
123,Novo câmbio em_,0,7,14
124,a China,0,7,15
125,"A China substituiu ontem o seu duplo sistema de câmbio por uma taxa de câmbio única a 8,7 yuan por cada dólar norte-americano .",1,7,16
126,"O câmbio de_ o yuan unificado e flutuante corresponde a_ a média de_ o mercado de sexta-feira e substitui as duas taxas anteriores : a oficial ' 5,8 yuan por dólar ' , para residentes estrangeiros e turistas , e a flutuante , reservada a_ as empresas",0,7,17
127,Alunos de Apolo ',0,8,1
128,de Ourique ',0,8,2
129,"R. Silva Carvalho , 225 Tel.",0,8,3
130,388 53 66 6ª e sáb .,0,8,4
131,22h-4h,0,8,5
132,16h-20h e sem .,0,8,6
133,22h-1h,0,8,7
134,A grande escola de dança de salão de Lisboa .,0,8,8
135,Os seus bailarinos contam -se entre os profissionais mais garbosos de_ a capital .,0,8,9
136,Gente de raça como em_ os tempos mais galhardos de_ a nossa história .,0,8,10
137,"Só que em_ esta sociedade , a de_ os alunos de um deus , se voga a_ o som de música e em terra firme .",0,8,11
138,É a única diferença .,0,8,12
139,O público não é menos ferrenho .,0,8,13
140,"Os concursos de dança Lisboa-Porto são de_ os combates mais renhidos de_ a história de_ as duas cidades , podendo saldar -se mesmo em valentes enxertos de pancadaria !",0,8,14
141,Nem em_ a bola se torce tanto por uma cidade .,0,8,15
142,Uma instituição !,0,8,16
143,Parece -nos a coisa mais natural de_ o mundo que já tenha contado com a presença de Sua Excelência o Presidente de_ a República .,0,8,17
144,"Bana -- Este é o nome de_ aquele que foi seu dono durante anos , o célebre cantor cabo-verdiano .",0,8,18
145,"Mas o nome de_ a casa propriamente dita é , e depois de_ a partida de Bana continua a ser , Monte Cara .",0,8,19
146,Procure -a em_ este nome para bailar umas coladeiras ou saborear uma catchupa !,0,8,20
147,Bela-Bar,0,8,21
148,Toque ' Rato ',0,8,22
149,"R. D. João V , 4A , cv Tel.",0,8,23
150,65 75 48 12h-2h Sáb .,0,8,24
151,só a_ a noite,0,8,25
152,de_ o .,0,8,26
153,Ponto de encontro de amigalhaços já entradotes .,0,8,27
154,Joga -se dardos e fala -se de mulheres .,0,8,28
155,"O jantar só se prolonga , infelizmente , até a_ as 22h .",0,8,29
156,Mas a rapaziada fica a beber até a_ as 2 de_ a manhã .,0,8,30
157,O Bicho de_ a Seda ' Amoreiras ',0,8,31
158,"Allen em Veneza Woody Allen decidiu cumprir os seus rituais de Ano Novo em Veneza , acompanhado de_ a sua jovem parceira , Soon Yi .",0,9,1
159,"Ontem , o par foi visto passeando a_ o longo de_ os canais de_ a ' sereníssima ' .",0,9,2
160,"O actor e realizador norte-americano e a filha adoptiva de_ a sua ex-mulher , Mia Farrow , instalaram -se em_ o Hotel Gritti e tomou o pequeno-almoço em_ o célebre Harry ' s Bar ' restaurante próximo de_ a Praça de S. Marcos '",0,9,3
161,"Depois de Sesimbra Posse de autarcas em Setúbal Vila Franca de Xira e Montijo Mata Cáceres , em Setúbal , Daniel Branco , em Vila Franca de Xira , e Jacinta Ricardo , em_ o Montijo , tomam hoje posse em_ os cargos de presidentes de câmara para que foram reeleitos em_ o passado dia 12 de Dezembro .",0,10,1
162,"Em_ o primeiro caso , o autarca de_ o PS tem maioria absoluta , mas em_ os outros a CDU , em nome de_ a qual foram eleitos , terá de fazer acordos , uma vez que a sua maioria é apenas relativa .",0,10,2
163,"As posses de_ estes dois autarcas e de_ as suas equipas segue -se , em_ a Área Metropolitana de Lisboa ' AML ' , a_ a de Sesimbra , cujos órgãos autárquicos foram empossados em_ a última terça-feira .",0,10,3
164,"Também aqui , a CDU terá de conseguir o apoio de forças de_ a oposição pois o histórico presidente Ezequiel Lino vê -se em_ este mandato por_ a primeira vez privado de_ a maioria absoluta : três lugares de_ a CDU em_ a Câmara contra três de_ o PS e um de_ o PSD .",0,10,4
165,"Em_ a Assembleia Municipal reflecte -se esta correlação de forças , mas este órgão é dirigido por um socialista .",0,10,5
166,"Em Setúbal , Mata Cáceres está a_ a vontade .",0,10,6
167,"A sua terceira maioria é , por_ a segunda vez , absoluta .",0,10,7
168,"Para mais , tanto o executivo como a Assembleia Municipal são largamente favoráveis a_ as cores socialistas .",0,10,8
169,"Em Vila Franca de Xira , Daniel Branco -- que deve manter -se a_ a frente de_ a AML por força de_ as onze presidências CDU em_ um total de 18 concelhos -- também precisa de seduzir a oposição municipal .",0,10,9
170,A CDU elegeu quatro vereadores contra três de_ o PS e dois de_ o PSD .,0,10,10
171,"A situação não é aliás nova já que , em_ o mandato anterior , os comunistas tinham também uma maioria relativa .",0,10,11
172,"As três forças têm mantido contactos , mas o presidente ainda não revelou se privilegia o entendimento com socialistas ou sociais-democratas , se pretende atribuir pelouros a_ a oposição ou se prefere negociar pontualmente votações mais complexas .",0,10,12
173,"Em_ a Assembleia Municipal a CDU tem tantos eleitos , 19 , quantos as outras forças somadas e a presidência deve ir para José Ernesto Cartaxo , membro de_ a direcção executiva de_ a CGTP-Intersindical , que liderou a lista de_ a coligação entre comunistas e verdes .",0,10,13
174,"Em_ o Montijo , Jacinta Ricardo também precisará de negociar para fazer valer as suas posições , como aconteceu também em_ o mandato anterior , durante o qual a presidente assumiu o lugar em que agora foi confirmada .",0,10,14
175,"Os três vereadores CDU sentam -se , de_ esta vez , a_ o lado de dois PSD e de dois PS .",0,10,15
176,"Nem todos as posses de_ os órgãos autárquicos estão ainda marcadas , mas para os próximos dias estão previstas outras em_ a Área Metropolitana -- amanhã é a vez de_ o Barreiro , enquanto Sintra e Palmela terão autarcas novos em_ a sexta-feira , dia 7",0,10,16
177,"Os Utah Jazz não tiveram quaisquer problemas para vencer os fraquinhos Dallas Mavericks , por 115-85 , em_ o único jogo de_ a jornada de segunda-feira de_ a Liga Norte-Americana de Basquetebol Profissional .",0,11,1
178,"De_ a NBA veio também a informação de que Isiah Thomas , o base de_ os Detroit Pistons , se reuniu com o patrão de_ os Knicks e decidiu que não assinará por_ a equipa de Nova Iorque .",1,11,2
179,"O contrato de Thomas , que tem 32 anos , termina em_",0,11,3
180,"o final de_ esta temporada e os Knicks estavam interessados em_ o jogador e dispostos , segundo a imprensa de Detroit , a dar três jogadores em troca .",0,11,4
181,"Lamborghini Daniele Audetto , responsável por_ o sector desportivo de_ a Lamborghini , revelou que a marca italiana não poderá cumprir integralmente os contratos de fornecimento de motores de Fórmula 1 , para a época de 1994 , que tinha estabelecido com a Larrousse e a Minardi .",0,11,5
182,"De acordo com aquele responsável , em declarações a_ o jornal italiano ' Gazzetta dello Sport ' , o atraso deve -se a dificuldades jurídicas que obrigaram a adiar , para a segunda metade de_ este mês , a assinatura de_ o contrato que transfere a Lamborghini de_ a Chrysler para a Megatech -- uma sociedade especializada em alta tecnologia que faz parte de_ o grupo indonésio Setdco .",0,11,6
183,A Larrousse e a Minardi foram libertadas de_ os seus compromissos com a marca italiana e podem procurar novos motores para esta temporada de F.1 .,0,11,7
184,Ferrari,0,11,8
185,"A Ferrari contratou esta semana o engenheiro japonês Osamu Goto , que será o responsável por_ o programa de pesquisa e desenvolvimento de_ a marca italiana .",0,11,9
186,"Goto , de 45 anos , trabalhou de 1969 a 1990 em_ a Honda ' onde foi também responsável por_ os motores de F.1 ' , passando de seguida para a McLaren .",0,11,10
187,"Em_ a equipa de Maranello , trabalhará sob a direcção de Cláudio Lombardi",0,11,11
188,Vila Franca de Xira Dois milhões para a água,0,12,1
189,"A Câmara Municipal de Vila Franca de Xira aprovou , esta semana , por unanimidade , um plano geral de redimensionamento de_ a rede de abastecimento de água a_ o concelho , com um horizonte de aplicabilidade de vinte anos , a iniciar em 1995 .",0,12,2
190,"Os estudos apresentados visam , fundamentalmente , o reforço de_ as capacidades de reserva , a racionalização de custos e a simplificação de processos , prevendo -se que a concretização de_ o plano exija , a preços de 1993 , cerca de dois milhões de contos .",0,12,3
191,"Para a elaboração de_ o plano foram tidos em conta os actuais consumos urbanos e industriais e as estimativas de evolução futura , definindo -se um limite máximo de abastecimento a 180 mil pessoas em_ o ano 2015 e prevendo -se ' uma evolução pouco significativa de_ os consumos industriais face a_ o aumento previsto de_ essas áreas em_ o PDM já aprovado ' .",1,12,4
192,"De acordo com os estudos efectuados , ficam definidas as necessidades de dimensionamento , até 2015 , de_ as infra-estruturas de captação , elevação , distribuição e reserva de água e as medidas de uniformização de procedimentos e de substituição de equipamentos electro-mecânicos .",0,12,5
